timestamp,sender,subject,risk_score,classification,quarantined,flags
4/20/2026 3:42,dr.johnson@yourclinic.org,Referral authorization for patient follow-up,20,Safe,FALSE,Healthcare lure: 'referral authorization' | Attachment present
4/20/2026 3:42,support@login-yourclinic.secureportal.xyz,Action Required: Confirm your login within 24 hours,100,Phishing,TRUE,Phishing keyword: 'your account has been compromised' | Phishing keyword: 'action required within 24 hours' | Phishing keyword: 'failure to respond will result' | Suspicious sender: support@login-yourclinic.secureportal.xyz | Suspicious URL pattern in body | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account'
4/20/2026 3:42,scheduler@yourclinic.org,Reminder: Your appointment tomorrow at 3pm,0,Safe,FALSE,
4/20/2026 3:42,claims@insurance-portal.ml,EOB Statement: Claim Denied — Immediate Response Required,100,Phishing,TRUE,Phishing keyword: 'validate your credentials' | Phishing keyword: 'immediate response required' | Healthcare lure: 'claim denied' | Healthcare lure: 'eob statement' | Suspicious sender: claims@insurance-portal.ml | Suspicious URL pattern in body | Attachment present | Display-name spoofing: 'HealthFirst Insurance Claims' claims clinic but sender is claims@insurance-portal.ml
4/20/2026 3:42,it@yourclinic.org,Password policy reminder — expires in 30 days,15,Safe,FALSE,Obfuscation detected: obfuscated 'password'
4/20/2026 3:52,billing@yourclinic.org,Your appointment is confirmed for Tuesday,0,Safe,FALSE,
4/20/2026 3:52,no-reply@medicarе-update.xyz,URGENT: Patient portal access will be SUSPENDED,100,Phishing,TRUE,Phishing keyword: 'confirm your identity' | Healthcare lure: 'patient portal' | Suspicious sender: no-reply@medicarе-update.xyz | Suspicious URL pattern in body | Urgency signal: 2 all-caps words in subject | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here' | Obfuscation detected: obfuscated 'suspended' | Obfuscation detected: obfuscated 'urgent'
4/20/2026 3:52,support@insurance-verify.click,Insurance Verification Required,90,Phishing,TRUE,Phishing keyword: 'update your billing' | Phishing keyword: 'validate your credentials' | Healthcare lure: 'insurance verification' | Suspicious sender: support@insurance-verify.click | Suspicious URL pattern in body | Attachment present
4/20/2026 3:52,hr@yourclinic.org,Staff meeting notes attached,10,Safe,FALSE,Attachment present
4/20/2026 3:52,noreply@123456789@mail.com,Security Alert: Suspicious activity on your account,100,Phishing,TRUE,Phishing keyword: 'reset your password now' | Phishing keyword: 'security alert' | Phishing keyword: 'suspicious activity' | Phishing keyword: 'immediate response required' | Suspicious sender: noreply@123456789@mail.com | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'password'
4/20/2026 3:52,admin@yourclinic.org,Payroll system maintenance tonight,0,Safe,FALSE,
4/20/2026 3:52,billing@healthcare-updates.net,Medicare Update: Action Required,70,Phishing,TRUE,Phishing keyword: 'confirm your email address' | Healthcare lure: 'medicare update' | Suspicious URL pattern in body | Display-name spoofing: 'Clinic Billing Department' claims clinic but sender is billing@healthcare-updates.net
4/20/2026 3:52,noreply@accounts-yourclinic.xyz,Your health plan renewal is pending,40,Suspicious,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'health plan renewal' | Suspicious sender: noreply@accounts-yourclinic.xyz
4/20/2026 3:52,labs@yourclinic.org,Lab results available for Patient #4821,20,Safe,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'lab results available'
4/20/2026 3:52,no-reply@account-verify.click,V3RIFY YOUR ACC0UNT NOW,80,Phishing,TRUE,Phishing keyword: 'login attempt' | Suspicious sender: no-reply@account-verify.click | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here'
4/20/2026 3:52,dr.johnson@yourclinic.org,Referral authorization for patient follow-up,20,Safe,FALSE,Healthcare lure: 'referral authorization' | Attachment present
4/20/2026 3:52,support@login-yourclinic.secureportal.xyz,Action Required: Confirm your login within 24 hours,100,Phishing,TRUE,Phishing keyword: 'your account has been compromised' | Phishing keyword: 'action required within 24 hours' | Phishing keyword: 'failure to respond will result' | Suspicious sender: support@login-yourclinic.secureportal.xyz | Suspicious URL pattern in body | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account'
4/20/2026 3:52,scheduler@yourclinic.org,Reminder: Your appointment tomorrow at 3pm,0,Safe,FALSE,
4/20/2026 3:52,claims@insurance-portal.ml,EOB Statement: Claim Denied — Immediate Response Required,100,Phishing,TRUE,Phishing keyword: 'validate your credentials' | Phishing keyword: 'immediate response required' | Healthcare lure: 'claim denied' | Healthcare lure: 'eob statement' | Suspicious sender: claims@insurance-portal.ml | Suspicious URL pattern in body | Attachment present | Display-name spoofing: 'HealthFirst Insurance Claims' claims clinic but sender is claims@insurance-portal.ml
4/20/2026 3:52,it@yourclinic.org,Password policy reminder — expires in 30 days,15,Safe,FALSE,Obfuscation detected: obfuscated 'password'
4/20/2026 3:53,billing@yourclinic.org,Your appointment is confirmed for Tuesday,0,Safe,FALSE,
4/20/2026 3:53,no-reply@medicarе-update.xyz,URGENT: Patient portal access will be SUSPENDED,100,Phishing,TRUE,Phishing keyword: 'confirm your identity' | Healthcare lure: 'patient portal' | Suspicious sender: no-reply@medicarе-update.xyz | Suspicious URL pattern in body | Urgency signal: 2 all-caps words in subject | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here' | Obfuscation detected: obfuscated 'suspended' | Obfuscation detected: obfuscated 'urgent'
4/20/2026 3:53,support@insurance-verify.click,Insurance Verification Required,90,Phishing,TRUE,Phishing keyword: 'update your billing' | Phishing keyword: 'validate your credentials' | Healthcare lure: 'insurance verification' | Suspicious sender: support@insurance-verify.click | Suspicious URL pattern in body | Attachment present
4/20/2026 3:53,hr@yourclinic.org,Staff meeting notes attached,10,Safe,FALSE,Attachment present
4/20/2026 3:53,noreply@123456789@mail.com,Security Alert: Suspicious activity on your account,100,Phishing,TRUE,Phishing keyword: 'reset your password now' | Phishing keyword: 'security alert' | Phishing keyword: 'suspicious activity' | Phishing keyword: 'immediate response required' | Suspicious sender: noreply@123456789@mail.com | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'password'
4/20/2026 3:53,admin@yourclinic.org,Payroll system maintenance tonight,0,Safe,FALSE,
4/20/2026 3:53,billing@healthcare-updates.net,Medicare Update: Action Required,70,Phishing,TRUE,Phishing keyword: 'confirm your email address' | Healthcare lure: 'medicare update' | Suspicious URL pattern in body | Display-name spoofing: 'Clinic Billing Department' claims clinic but sender is billing@healthcare-updates.net
4/20/2026 3:53,noreply@accounts-yourclinic.xyz,Your health plan renewal is pending,40,Suspicious,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'health plan renewal' | Suspicious sender: noreply@accounts-yourclinic.xyz
4/20/2026 3:53,labs@yourclinic.org,Lab results available for Patient #4821,20,Safe,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'lab results available'
4/20/2026 3:53,no-reply@account-verify.click,V3RIFY YOUR ACC0UNT NOW,80,Phishing,TRUE,Phishing keyword: 'login attempt' | Suspicious sender: no-reply@account-verify.click | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here'
4/20/2026 3:53,dr.johnson@yourclinic.org,Referral authorization for patient follow-up,20,Safe,FALSE,Healthcare lure: 'referral authorization' | Attachment present
4/20/2026 3:53,support@login-yourclinic.secureportal.xyz,Action Required: Confirm your login within 24 hours,100,Phishing,TRUE,Phishing keyword: 'your account has been compromised' | Phishing keyword: 'action required within 24 hours' | Phishing keyword: 'failure to respond will result' | Suspicious sender: support@login-yourclinic.secureportal.xyz | Suspicious URL pattern in body | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account'
4/20/2026 3:53,scheduler@yourclinic.org,Reminder: Your appointment tomorrow at 3pm,0,Safe,FALSE,
4/20/2026 3:53,claims@insurance-portal.ml,EOB Statement: Claim Denied — Immediate Response Required,100,Phishing,TRUE,Phishing keyword: 'validate your credentials' | Phishing keyword: 'immediate response required' | Healthcare lure: 'claim denied' | Healthcare lure: 'eob statement' | Suspicious sender: claims@insurance-portal.ml | Suspicious URL pattern in body | Attachment present | Display-name spoofing: 'HealthFirst Insurance Claims' claims clinic but sender is claims@insurance-portal.ml
4/20/2026 3:53,it@yourclinic.org,Password policy reminder — expires in 30 days,15,Safe,FALSE,Obfuscation detected: obfuscated 'password'
4/19/2026 22:55,billing@yourclinic.org,Your appointment is confirmed for Tuesday,0,Safe,FALSE,
4/19/2026 22:55,no-reply@medicarе-update.xyz,URGENT: Patient portal access will be SUSPENDED,100,Phishing,TRUE,Phishing keyword: 'confirm your identity' | Healthcare lure: 'patient portal' | Suspicious sender: no-reply@medicarе-update.xyz | Suspicious URL pattern in body | Urgency signal: 2 all-caps words in subject | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here' | Obfuscation detected: obfuscated 'suspended' | Obfuscation detected: obfuscated 'urgent'
4/19/2026 22:55,support@insurance-verify.click,Insurance Verification Required,90,Phishing,TRUE,Phishing keyword: 'update your billing' | Phishing keyword: 'validate your credentials' | Healthcare lure: 'insurance verification' | Suspicious sender: support@insurance-verify.click | Suspicious URL pattern in body | Attachment present
4/19/2026 22:55,hr@yourclinic.org,Staff meeting notes attached,10,Safe,FALSE,Attachment present
4/19/2026 22:55,noreply@123456789@mail.com,Security Alert: Suspicious activity on your account,100,Phishing,TRUE,Phishing keyword: 'reset your password now' | Phishing keyword: 'security alert' | Phishing keyword: 'suspicious activity' | Phishing keyword: 'immediate response required' | Suspicious sender: noreply@123456789@mail.com | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'password'
4/19/2026 22:55,admin@yourclinic.org,Payroll system maintenance tonight,0,Safe,FALSE,
4/19/2026 22:55,billing@healthcare-updates.net,Medicare Update: Action Required,70,Phishing,TRUE,Phishing keyword: 'confirm your email address' | Healthcare lure: 'medicare update' | Suspicious URL pattern in body | Display-name spoofing: 'Clinic Billing Department' claims clinic but sender is billing@healthcare-updates.net
4/19/2026 22:55,noreply@accounts-yourclinic.xyz,Your health plan renewal is pending,40,Suspicious,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'health plan renewal' | Suspicious sender: noreply@accounts-yourclinic.xyz
4/19/2026 22:55,labs@yourclinic.org,Lab results available for Patient #4821,20,Safe,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'lab results available'
4/19/2026 22:55,no-reply@account-verify.click,V3RIFY YOUR ACC0UNT NOW,80,Phishing,TRUE,Phishing keyword: 'login attempt' | Suspicious sender: no-reply@account-verify.click | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here'
4/19/2026 22:55,dr.johnson@yourclinic.org,Referral authorization for patient follow-up,20,Safe,FALSE,Healthcare lure: 'referral authorization' | Attachment present
4/19/2026 22:55,support@login-yourclinic.secureportal.xyz,Action Required: Confirm your login within 24 hours,100,Phishing,TRUE,Phishing keyword: 'your account has been compromised' | Phishing keyword: 'action required within 24 hours' | Phishing keyword: 'failure to respond will result' | Suspicious sender: support@login-yourclinic.secureportal.xyz | Suspicious URL pattern in body | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account'
4/19/2026 22:55,scheduler@yourclinic.org,Reminder: Your appointment tomorrow at 3pm,0,Safe,FALSE,
4/19/2026 22:55,claims@insurance-portal.ml,EOB Statement: Claim Denied — Immediate Response Required,100,Phishing,TRUE,Phishing keyword: 'validate your credentials' | Phishing keyword: 'immediate response required' | Healthcare lure: 'claim denied' | Healthcare lure: 'eob statement' | Suspicious sender: claims@insurance-portal.ml | Suspicious URL pattern in body | Attachment present | Display-name spoofing: 'HealthFirst Insurance Claims' claims clinic but sender is claims@insurance-portal.ml
4/19/2026 22:55,it@yourclinic.org,Password policy reminder — expires in 30 days,15,Safe,FALSE,Obfuscation detected: obfuscated 'password'
4/19/2026 23:12,billing@yourclinic.org,Your appointment is confirmed for Tuesday,0,Safe,FALSE,
4/19/2026 23:12,no-reply@medicarе-update.xyz,URGENT: Patient portal access will be SUSPENDED,100,Phishing,TRUE,Phishing keyword: 'confirm your identity' | Healthcare lure: 'patient portal' | Suspicious sender: no-reply@medicarе-update.xyz | Suspicious URL pattern in body | Urgency signal: 2 all-caps words in subject | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here' | Obfuscation detected: obfuscated 'suspended' | Obfuscation detected: obfuscated 'urgent'
4/19/2026 23:12,support@insurance-verify.click,Insurance Verification Required,90,Phishing,TRUE,Phishing keyword: 'update your billing' | Phishing keyword: 'validate your credentials' | Healthcare lure: 'insurance verification' | Suspicious sender: support@insurance-verify.click | Suspicious URL pattern in body | Attachment present
4/19/2026 23:12,hr@yourclinic.org,Staff meeting notes attached,10,Safe,FALSE,Attachment present
4/19/2026 23:12,noreply@123456789@mail.com,Security Alert: Suspicious activity on your account,100,Phishing,TRUE,Phishing keyword: 'reset your password now' | Phishing keyword: 'security alert' | Phishing keyword: 'suspicious activity' | Phishing keyword: 'immediate response required' | Suspicious sender: noreply@123456789@mail.com | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'password'
4/19/2026 23:12,admin@yourclinic.org,Payroll system maintenance tonight,0,Safe,FALSE,
4/19/2026 23:12,dr.johnson@yourclinic.org,Referral authorization for patient follow-up,20,Safe,FALSE,Healthcare lure: 'referral authorization' | Attachment present
4/19/2026 23:12,scheduler@yourclinic.org,Reminder: Your appointment tomorrow at 3pm,0,Safe,FALSE,
4/19/2026 23:12,it@yourclinic.org,Password policy reminder — expires in 30 days,15,Safe,FALSE,Obfuscation detected: obfuscated 'password'
4/19/2026 23:12,billing@healthcare-updates.net,Medicare Update: Action Required,70,Phishing,TRUE,Phishing keyword: 'confirm your email address' | Healthcare lure: 'medicare update' | Suspicious URL pattern in body | Display-name spoofing: 'Clinic Billing Department' claims clinic but sender is billing@healthcare-updates.net
4/19/2026 23:12,claims@insurance-portal.ml,EOB Statement: Claim Denied — Immediate Response Required,100,Phishing,TRUE,Phishing keyword: 'validate your credentials' | Phishing keyword: 'immediate response required' | Healthcare lure: 'claim denied' | Healthcare lure: 'eob statement' | Suspicious sender: claims@insurance-portal.ml | Suspicious URL pattern in body | Attachment present | Display-name spoofing: 'HealthFirst Insurance Claims' claims clinic but sender is claims@insurance-portal.ml
4/19/2026 23:12,no-reply@account-verify.click,V3RIFY YOUR ACC0UNT NOW,80,Phishing,TRUE,Phishing keyword: 'login attempt' | Suspicious sender: no-reply@account-verify.click | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here'
4/19/2026 23:12,support@login-yourclinic.secureportal.xyz,Action Required: Confirm your login within 24 hours,100,Phishing,TRUE,Phishing keyword: 'your account has been compromised' | Phishing keyword: 'action required within 24 hours' | Phishing keyword: 'failure to respond will result' | Suspicious sender: support@login-yourclinic.secureportal.xyz | Suspicious URL pattern in body | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account'
4/19/2026 23:12,noreply@accounts-yourclinic.xyz,Your health plan renewal is pending,40,Suspicious,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'health plan renewal' | Suspicious sender: noreply@accounts-yourclinic.xyz
4/19/2026 23:12,labs@yourclinic.org,Lab results available for Patient #4821,20,Safe,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'lab results available'
